Urls	None
http://en.worldtempus.com/article/watches/trends-and-style/rolex-the-most-popular-rolex-2020-watches-and-where-to-get-them-29234.html?utm_source=worldtempus	2020-10-30
http://en.worldtempus.com/watches/submariner-7864.html	2014-09-09
http://en.worldtempus.com/watches/datejust-special-edition-2630.html	2014-09-09
http://en.worldtempus.com/watches/datejust-7866.html	2014-09-09
http://en.worldtempus.com/watches/datejust-ii-7858.html	2014-09-09
http://en.worldtempus.com/watches/perpetual-2640.html	2014-09-09
http://en.worldtempus.com/watches/submariner-2646.html	2014-09-09
http://en.worldtempus.com/watches/submariner-date-4927.html	2014-09-09
http://en.worldtempus.com/article/watches/trends-and-style/a-lemeraude-behind-the-success-of-the-2020-rolex-white-gold-submariner-29297.html	2020-11-26
http://en.worldtempus.com/watches/lady-datejust-2638.html	2014-09-09
http://en.worldtempus.com/watches/datejus-special-edition-6409.html	2014-09-09
http://en.worldtempus.com/article/rolex-oyster-perpetual-datejust-ii-rolesor-5460.html	2009-03-28
http://en.worldtempus.com/watch-brand/rolex-102	2014-09-09
http://en.worldtempus.com/watches/sky-dweller-7863.html	2014-09-09
http://en.worldtempus.com/watches/sea-dweller-20350.html	2014-09-09
http://en.worldtempus.com/watches/yacht-master-ii-6410.html	2014-09-09
http://en.worldtempus.com/article/watches/trends-and-style/a-lemeraude-rolex-green-emerald-green-29266.html	2020-11-06
http://en.worldtempus.com/watches/explorer-2642.html	2014-09-09
http://en.worldtempus.com/watches/datejust-31mm-2628.html	2014-09-09
http://en.worldtempus.com/watches/datejust-31-20354.html	2014-09-09
http://en.worldtempus.com/watches/day-date-2636.html	2014-09-09
http://en.worldtempus.com/watches/explorer-ii-2643.html	2014-09-09
http://en.worldtempus.com/article/rolex-wild-ladies-9007.html	2010-10-15
http://en.worldtempus.com/watches/datejust-lady-31-7859.html	2014-09-09
http://en.worldtempus.com/watches/gmt-master-ii-2644.html	2014-09-09
http://en.worldtempus.com/watches/lady-datejust-6408.html	2014-09-09
http://en.worldtempus.com/article/watches/trends-and-style/rolex-oyster-perpetual-cosmograph-daytona-12150.html	2012-03-08
http://en.worldtempus.com/article/rolex-oyster-perpetual-explorer-ii-10075.html	2011-03-24
http://en.worldtempus.com/watches/prince-2623.html	2014-09-09
http://en.worldtempus.com/watches/gmt-master-ii-pepsi-20351.html	2014-09-09
http://en.worldtempus.com/watches/cestello-2620.html	2014-09-09
http://en.worldtempus.com/watches/lady-datejust-7862.html	2014-09-09
http://en.worldtempus.com/watches/datejust--lady-31-mm-4919.html	2014-09-09
http://en.worldtempus.com/article/industry-news/retail/rolex-the-best-boutiques-in-switzerland-28371.html	2020-02-24
http://en.worldtempus.com/watches/deepsea-2641.html	2014-09-09
http://en.worldtempus.com/watches/orchid-2622.html	2014-09-09
http://en.worldtempus.com/article/rolex-awards-for-entreprise-new-young-laureates-programme-5260.html	2009-03-03
http://en.worldtempus.com/article/watches/trends-and-style/rolex-oyster-perpetual-sky-dweller-12176.html	2012-03-09
http://en.worldtempus.com/article/events/arts-and-culture/the-millennium-watch-book-excerpt-from-the-millennium-watch-book-one-year-one-watch-28935.html	2020-07-30
http://en.worldtempus.com/article/watches/trends-and-style/rolex-the-gmt-master-ii-craze-27627.html	2019-07-24
http://en.worldtempus.com/article/events/exhibitions/watch-trade-show-rolex-patek-philippe-chanel-chopard-and-tudor-leave-baselworld-28551.html	2020-04-14
http://en.worldtempus.com/article/watches/trends-and-style/rolex-wildcard-rolex-cellini-27969.html	2019-10-24
http://en.worldtempus.com/article/rolex-904l-steel-7128.html	2009-12-21
http://en.worldtempus.com/article/rolex-winners-of-the-young-laureates-programme-9149.html	2010-11-10
http://en.worldtempus.com/article/rolex-exploring-the-explorer-ii-10099.html	2011-03-25
http://en.worldtempus.com/article/watches/trends-and-style/rolex-what-is-explorer-the-name-of-27226.html	2019-04-07
http://en.worldtempus.com/article/rolex-yacht-master-ii-10091.html	2011-03-28
http://en.worldtempus.com/watches/day-date-ii-2637.html	2014-09-09
http://en.worldtempus.com/watches/explorer-ii-6407.html	2014-09-09
http://en.worldtempus.com/article/watches/trends-and-style/rolex-date-just-ii-12152.html	2012-03-08
http://en.worldtempus.com/article/watches/trends-and-style/rolex-oyster-perpetual-day-date-ii-12165.html	2012-03-08
http://en.worldtempus.com/article/rolex-2011-basel-collection-10198.html	2011-03-31
http://en.worldtempus.com/article/rolex-lady-datejust-10090.html	2011-03-27
