00/24 Horloges ,https://www.0024watchworld.com/,N/A,N/A,N/A,N/A,N/A,N/A
A Blog to Watch,https://www.ablogtowatch.com/,"2,150,000","2,100,000","1,950,000","2,000,000","1,900,000","1,850,000"
A Timely Perspective,https://www.atimelyperspective.com/,N/A,N/A,N/A,N/A,N/A,N/A
Arbiter/Kairos (Italy),https://www.arbiter.it/,N/A,N/A,N/A,N/A,N/A,N/A
Arena (Korea),https://www.arena.co.kr/index.asp,N/A,N/A,N/A,N/A,N/A,N/A
Bilan Luxe,https://www.bilan.ch/luxe,"330,000","380,000","430,000","370,000","330,000","410,000"
Bilanz,https://www.handelszeitung.ch/bilanz,"810,000","950,000","1,100,000","1,150,000","1,050,000","1,200,000"
BIPH,https://biph.ch/,N/A,N/A,N/A,N/A,N/A,N/A
Bloomberg,https://www.bloomberg.com/,"80,000,000","78,400,000","77,700,000","87,500,000","89,200,000","118,500,000"
Boss Hunting,https://www.bosshunting.com.au/,"819,386","1,311,641","1,007,244","1,730,669","1,065,656","1,237,782"
Business Standard,https://www.business-standard.com/,"10,200,000","9,950,000","9,950,000","10,300,000","12,700,000","13,400,000"
Business Times,https://www.businesstimes.com.sg/,"2,500,000","2,850,000","2,800,000","2,700,000","2,500,000","2,600,000"
Business Traveler,https://www.businesstraveller.com/,"1,050,000","840,000","790,000",N/A,"1,100,000","760,000"
Business World,https://www.businessworld.ie/,N/A,N/A,N/A,N/A,N/A,N/A
Business World,https://www.businessworld.in/,"1,100,000","1,100,000","1,100,000","900,000","1,100,000","1,150,000"
Business World,https://www.bworldonline.com/,"1,036,892","966,594","964,829","1,002,505","848,455","941,072"
Capital,https://www.capital.fr/,"18,300,000","18,700,000","21,900,000","20,100,000","19,600,000","19,800,000"
Chronos,https://wearchronos.com/,N/A,N/A,N/A,N/A,N/A,N/A
Chronos Japan,https://www.webchronos.net/,"910,000","970,000","1,100,000","1,100,000","1,150,000","1,200,000"
Chronos24.pl,https://ch24.pl/,"54,858","66,452","78,135","69,851","68,738","60,343"
"CN Traveller, FT",https://www.cntraveller.com/,"1,600,000","1,350,000","1,300,000","1,300,000","1,500,000","1,400,000"
"CN Traveller, FT",https://www.ft.com/,"29,100,000","31,900,000","35,000,000","42,300,000","30,500,000","35,600,000"
CREA WEB,https://crea.bunshun.jp/,"1,500,000","1,550,000","1,700,000","1,550,000","1,800,000","2,200,000"
D’Marge,https://www.dmarge.com/,"2,000,000","1,850,000","2,050,000","2,050,000","1,750,000","1,750,000"
De Standaard Magazine ,https://www.standaard.be/plus/ds-magazine,N/A,N/A,N/A,N/A,N/A,N/A
Deployant,https://deployant.com/,"114,563","87,458","83,314","81,116","89,741","96,747"
DIVER,https://divermag.com/,N/A,N/A,N/A,N/A,N/A,N/A
DNA,https://www.dnamagazine.com.au/,"150,000","140,000","140,000","120,000","150,000","210,000"
Economic Review,"https://www.hoddereducation.co.uk/subjects/economics/products/16-18/economic-review-emagazine-volume-38,-2020-21",N/A,N/A,N/A,N/A,N/A,N/A
EGO / ESQUIRE,https://www.esquire.com/,"26,500,000","25,300,000","27,000,000","30,200,000","34,100,000","27,200,000"
EL MUNDO MAGAZINE ,https://www.elmundo.es/magazine.html,"157,500,000","148,500,000","152,500,000","134,500,000","127,000,000","126,000,000"
Ela (O Globo),https://oglobo.globo.com/ela/,"59,600,000","60,300,000","64,500,000","74,100,000","64,500,000","69,600,000"
ELLE ,https://www.elle.com/,"44,800,000","43,500,000","45,100,000","46,500,000","54,200,000","48,300,000"
Elsevier Weekblad ,https://www.ewmagazine.nl/,N/A,N/A,N/A,N/A,N/A,N/A
Eos Magazine ,https://www.eos-magazine.com/,N/A,N/A,N/A,N/A,N/A,N/A
ESPN5,http://www.espn5.com/,N/A,N/A,N/A,N/A,N/A,N/A
ESPN5,http://www.espn5.com/,N/A,N/A,N/A,N/A,N/A,N/A
Esquire,https://www.esquire.com/uk/,"26,500,000","25,300,000","27,000,000","30,200,000","34,100,000","27,200,000"
Estadão,https://www.estadao.com.br/,"28,300,000","26,700,000","29,100,000","42,400,000","33,100,000","38,700,000"
ET Panache,https://economictimes.indiatimes.com/panache,"38,100,000","37,200,000","33,600,000","35,900,000","32,600,000","34,600,000"
Europa Star,https://www.europastar.com/,N/A,N/A,N/A,N/A,N/A,N/A
Evo Magazine,https://www.evo.co.uk/,"590,000","560,000","550,000","500,000","550,000","650,000"
Executive Style,http://www.executivestyle.com.au/,N/A,N/A,N/A,N/A,N/A,N/A
Explorers Club,https://www.explorers.org/,N/A,N/A,N/A,N/A,N/A,N/A
FASHION & ARTS,https://www.lavanguardia.com/magazine,"104,000,000","99,700,000","109,000,000","106,000,000","86,300,000","84,500,000"
FHH,https://journal.hautehorlogerie.org/en/,"40,364","45,943","48,737","51,032","48,346","46,006"
Financial Times,https://www.ft.com/,"29,100,000","31,900,000","35,000,000","42,300,000","30,500,000","35,600,000"
Folha de São Paulo,https://www.folha.uol.com.br/,"65,600,000","62,900,000","67,900,000","80,200,000","69,000,000","78,800,000"
FORBES,https://www.forbes.com/,"150,000,000","113,000,000","116,500,000","111,000,000","118,000,000","126,500,000"
Fortune,https://fortune.com/,"6,650,000","5,650,000","6,150,000","6,050,000","6,000,000",N/A
Fratello Watches ,https://www.fratellowatches.com/#gref,"766,064","899,370","953,160","888,798","1,052,399","989,182"
FT,https://www.ft.com/,"29,100,000","31,900,000","35,000,000","42,300,000","30,500,000","35,600,000"
Gala,https://www.gala.fr/,"52,300,000","46,600,000","52,200,000","58,600,000","60,000,000","55,500,000"
Gentleman's Journal,https://www.thegentlemansjournal.com/,"540,000","520,000","540,000","540,000","530,000","800,000"
Gentside,https://www.gentside.co.uk/,"370,000","550,000","400,000","960,000","2,800,000","440,000"
Glow! / Black,https://www.blackmagazine.co.nz/,N/A,N/A,N/A,N/A,N/A,N/A
GMA,https://www.goodmorningamerica.com/,"5,800,000","5,700,000","4,350,000","5,200,000","5,200,000","4,250,000"
GMT,https://www.gmtmag.com/,N/A,N/A,N/A,N/A,N/A,N/A
GOETHE,https://www.goethe.de/ins/gb/en/kul/mag.html,N/A,N/A,N/A,N/A,N/A,N/A
Good Weekend,https://www.smh.com.au/topic/good-weekend-1qq,N/A,N/A,N/A,N/A,N/A,N/A
GQ,https://www.gq-magazine.co.uk/,"3,400,000","4,350,000","3,800,000","3,950,000","4,100,000","4,050,000"
Grazia,https://graziadaily.co.uk/,"1,400,000","1,450,000","1,700,000","1,700,000","1,450,000","1,450,000"
Handelszeitung,https://www.handelszeitung.ch/,"810,000","950,000","1,100,000","1,150,000","1,050,000","1,200,000"
HARPER´S BAZAAR,https://www.harpersbazaar.com/,"18,900,000","18,100,000","19,300,000","22,800,000","22,100,000","22,000,000"
"Harrods, Country Life",https://www.harrods.com/,"2,650,000","2,700,000","2,950,000","5,050,000",N/A,"3,800,000"
"Harrods, Country Life",https://www.countrylife.co.uk/publication/country-life,N/A,N/A,N/A,N/A,N/A,N/A
Haute Time,https://www.hautetime.com/,"60,000","65,000","60,000","70,000","55,000","190,000"
Hindustan Times,https://www.hindustantimes.com/,"94,700,000","85,700,000","77,500,000","69,600,000","69,800,000","68,500,000"
Hodinkee,https://www.hodinkee.com/,"2,650,000","2,600,000","2,700,000","2,650,000","2,950,000",N/A
HOLA  ,https://www.hola.com/,"41,000,000","37,800,000","40,400,000","37,600,000","35,300,000","34,000,000"
HORAS Y MINUTOS,https://horasyminutos.com/,"55,000","60,000","60,000","75,000","70,000","75,000"
https://www.watch-around.swiss/,https://www.watch-around.swiss/,N/A,N/A,N/A,N/A,N/A,N/A
https://www.watchonista.com/,https://www.watchonista.com/,"80,000",N/A,"130,000","110,000","120,000","170,000"
ICON,https://www.iconeye.com/,N/A,N/A,N/A,N/A,N/A,N/A
India Today,https://www.indiatoday.in/,"47,000,000","43,700,000","43,000,000","38,300,000","47,700,000","51,100,000"
Indonesia Tatler,https://indonesiatatler.com/,N/A,N/A,N/A,N/A,N/A,N/A
ITP Media Group,https://www.itp.com/,N/A,N/A,N/A,N/A,N/A,N/A
Jake's Rolex World Magazine,https://www.rolexmagazine.com/,N/A,N/A,N/A,N/A,N/A,N/A
Jamaque Paradis,https://www.jamaqueparadis.com/,N/A,N/A,N/A,N/A,N/A,N/A
JCK,https://www.jckonline.com/,"410,000","290,000","320,000","390,000","410,000","490,000"
JFK,https://jfk.men/,"140,000","130,000","110,000","120,000","140,000","130,000"
Johnny Davis (https://muckrack.com/johnny-davis/articles),https://muckrack.com/johnny-davis,"2,750,000","2,800,000","3,250,000","3,100,000","2,850,000","3,150,000"
